"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"161",2013,"Leonids",2013-11-06,2013-11-17,2013-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"162",2013,"Lyrids",2013-04-15,2013-04-22,2013-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"163",2013,"Northern Taurids",2013-10-13,2013-11-12,2013-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"164",2013,"Orionids",2013-10-02,2013-10-22,2013-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"165",2013,"Perseids",2013-07-17,2013-08-12,2013-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"166",2013,"Quadrantids",2013-01-01,2013-01-03,2013-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"167",2013,"Southern Taurids",2013-09-23,2013-10-10,2013-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"168",2013,"Ursids",2013-12-17,2013-12-22,2013-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"169",2014,"Delta Aquariids",2014-07-12,2014-07-30,2014-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"170",2014,"Draconids",2014-10-06,2014-10-08,2014-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"171",2014,"Eta Aquariids",2014-04-19,2014-05-06,2014-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"172",2014,"Geminids",2014-12-04,2014-12-14,2014-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"173",2014,"Leonids",2014-11-06,2014-11-17,2014-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"174",2014,"Lyrids",2014-04-15,2014-04-22,2014-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"175",2014,"Northern Taurids",2014-10-13,2014-11-12,2014-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"176",2014,"Orionids",2014-10-02,2014-10-22,2014-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"177",2014,"Perseids",2014-07-17,2014-08-12,2014-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
