catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09695,2083-08-13,05:34:41,165,1034,156,P,t-,-1.2064,0.6146,-62,-67,0,NA,NA,Partial,The Moon partially covers the Sun.,11944.069896021168,Not Visible in California,NA
09696,2084-01-07,09:30:24,166,1039,123,P,-t,-1.0715,0.8723,-64,69,0,NA,NA,Partial,The Moon partially covers the Sun.,16935.9037765868,Not Visible in California,NA
09697,2084-07-02,18:50:26,167,1045,128,A,-p,0.8208,0.9421,75,-169,35,377,265,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",4952.938967522665,Partially Visible in California,4m 25s
09698,2084-12-27,01:13:48,168,1051,133,T,-n,-0.4094,1.0396,-47,48,66,146,184,Total,The Moon completely covers the Sun.,18477.284909085432,Not Visible in California,3m 4s
09699,2085-06-21,20:21:16,169,1057,138,A,nn,0.0452,0.9704,26,131,87,106,209,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",9872.575186439935,Not Visible in California,3m 29s
09700,2085-12-16,14:37:48,170,1063,143,A,n-,0.2786,0.9971,-7,-161,74,10,19,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",6510.945354965624,Not Visible in California,0m 19s
09701,2086-06-11,04:07:14,171,1069,148,T,p-,-0.7215,1.0174,-23,12,44,86,108,Total,The Moon completely covers the Sun.,15144.077962928483,Not Visible in California,1m 48s
09702,2086-12-05,21:38:55,172,1075,153,P,p-,1.0194,0.9271,67,96,0,NA,NA,Partial,The Moon partially covers the Sun.,8092.511467925534,Not Visible in California,NA
09703,2087-05-02,11:04:42,173,1080,120,P,-t,1.1139,0.8011,70,128,0,NA,NA,Partial,The Moon partially covers the Sun.,6980.757621887792,Partially Visible in California,NA
09704,2087-05-31,18:27:14,173,1081,158,P,t-,-1.4186,0.2146,-68,165,0,NA,NA,Partial,The Moon partially covers the Sun.,13200.229067030787,Not Visible in California,NA
09705,2087-10-26,04:46:57,174,1086,125,P,-t,-1.2882,0.4696,-71,-131,0,NA,NA,Partial,The Moon partially covers the Sun.,12019.956876526418,Not Visible in California,NA
09706,2088-04-21,03:31:49,175,1092,130,T,-p,0.4135,1.0474,36,15,65,173,238,Total,The Moon completely covers the Sun.,10655.953627852978,Not Visible in California,3m 58s
09707,2088-10-14,07:48:05,177,1098,135,A,-p,-0.5349,0.9727,-40,-56,57,115,158,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",10711.633642887293,Not Visible in California,2m 38s
09708,2089-04-10,15:44:42,178,1104,140,A,n-,-0.3319,0.9919,-10,-155,71,30,53,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",6391.874472541266,Not Visible in California,0m 53s
09709,2089-10-03,18:15:23,179,1110,145,T,n-,0.2167,1.0333,7,163,77,115,194,Total,The Moon completely covers the Sun.,8437.690018044039,Not Visible in California,3m 14s
09710,2090-03-30,20:38:08,180,1116,150,P,t-,-1.1028,0.7843,-72,-156,0,NA,NA,Partial,The Moon partially covers the Sun.,12426.775221736532,Not Visible in California,NA
09711,2090-09-23,09:56:36,181,1122,155,T,t-,0.9157,1.0562,61,-40,23,463,216,Total,The Moon completely covers the Sun.,5947.81028965076,Not Visible in California,3m 36s
09712,2091-02-18,01:54:40,182,1127,122,P,-t,1.1779,0.6558,71,-18,0,NA,NA,Partial,The Moon partially covers the Sun.,6564.656072617112,Partially Visible in California,NA
09713,2091-08-14,17:34:43,183,1133,127,T,-t,-0.949,1.0216,-56,150,18,236,98,Total,The Moon completely covers the Sun.,13350.10175287419,Not Visible in California,1m 38s
09714,2092-02-07,07:10:20,184,1139,132,A,-n,0.4322,0.984,10,-49,64,62,108,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",7604.288762292459,Not Visible in California,1m 48s
09715,2092-08-03,02:59:33,185,1145,137,A,nn,-0.2044,0.9794,6,30,78,75,151,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",14294.007187804862,Not Visible in California,2m 31s
09716,2093-01-26,19:22:16,186,1151,142,T,n-,-0.2737,1.034,-34,136,74,119,178,Total,The Moon completely covers the Sun.,13357.96387112297,Not Visible in California,2m 58s
09717,2093-07-23,05:32:04,187,1157,147,A,p-,0.5717,0.9463,55,1,55,241,311,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",8346.064152964393,Not Visible in California,5m 11s
