"start_datetime_utc","end_datetime_utc","start_date_la","end_date_la","dates_la","year","duration_days","cycle_index"
"2045-07-13 06:00:00 UTC","2045-08-06 09:00:00 UTC",2045-07-12,2045-08-06,"Jul 12 - Aug 06",2045,25,144
"2045-11-05 09:00:00 UTC","2045-11-25 08:00:00 UTC",2045-11-05,2045-11-25,"Nov 5–25",2045,20,145
"2046-02-21 19:00:00 UTC","2046-03-16 02:00:00 UTC",2046-02-21,2046-03-15,"Feb 21 - Mar 15",2046,22,146
"2046-06-24 15:00:00 UTC","2046-07-18 19:00:00 UTC",2046-06-24,2046-07-18,"Jun 24 - Jul 18",2046,24,147
"2046-10-19 19:00:00 UTC","2046-11-09 07:00:00 UTC",2046-10-19,2046-11-08,"Oct 19 - Nov 08",2046,20,148
"2047-02-05 08:00:00 UTC","2047-02-26 21:00:00 UTC",2047-02-05,2047-02-26,"Feb 5–26",2047,21,149
"2047-06-05 13:00:00 UTC","2047-06-29 12:00:00 UTC",2047-06-05,2047-06-29,"Jun 5–29",2047,24,150
"2047-10-03 01:00:00 UTC","2047-10-24 05:00:00 UTC",2047-10-02,2047-10-23,"Oct 2–23",2047,21,151
"2048-01-20 02:00:00 UTC","2048-02-09 22:00:00 UTC",2048-01-19,2048-02-09,"Jan 19 - Feb 09",2048,21,152
"2048-05-16 02:00:00 UTC","2048-06-08 21:00:00 UTC",2048-05-15,2048-06-08,"May 15 - Jun 08",2048,24,153
"2048-09-15 02:00:00 UTC","2048-10-07 00:00:00 UTC",2048-09-14,2048-10-06,"Sep 14 - Oct 06",2048,22,154
"2049-01-03 00:00:00 UTC","2049-01-23 06:00:00 UTC",2049-01-02,2049-01-22,"Jan 2–22",2049,20,155
"2049-04-26 19:00:00 UTC","2049-05-20 13:00:00 UTC",2049-04-26,2049-05-20,"Apr 26 - May 20",2049,24,156
"2049-08-28 20:00:00 UTC","2049-09-20 14:00:00 UTC",2049-08-28,2049-09-20,"Aug 28 - Sep 20",2049,23,157
"2049-12-17 21:00:00 UTC","2050-01-06 18:00:00 UTC",2049-12-17,2050-01-06,"Dec 17 - Jan 06",2049,20,158
"2050-04-08 03:00:00 UTC","2050-05-01 19:00:00 UTC",2050-04-07,2050-05-01,"Apr 07 - May 01",2050,24,159
"2050-08-11 07:00:00 UTC","2050-09-03 18:00:00 UTC",2050-08-11,2050-09-03,"Aug 11 - Sep 03",2050,23,160
"2050-12-01 18:00:00 UTC","2050-12-21 11:00:00 UTC",2050-12-01,2050-12-21,"Dec 1–21",2050,20,161
"2051-03-21 06:00:00 UTC","2051-04-13 13:00:00 UTC",2051-03-20,2051-04-13,"Mar 20 - Apr 13",2051,24,162
"2051-07-24 10:00:00 UTC","2051-08-17 09:00:00 UTC",2051-07-24,2051-08-17,"Jul 24 - Aug 17",2051,24,163
"2051-11-15 11:00:00 UTC","2051-12-05 07:00:00 UTC",2051-11-15,2051-12-04,"Nov 15 - Dec 04",2051,19,164
"2052-03-03 02:00:00 UTC","2052-03-25 19:00:00 UTC",2052-03-02,2052-03-25,"Mar 2–25",2052,23,165
"2052-07-05 02:00:00 UTC","2052-07-29 06:00:00 UTC",2052-07-04,2052-07-28,"Jul 4–28",2052,24,166
"2052-10-29 01:00:00 UTC","2052-11-18 05:00:00 UTC",2052-10-28,2052-11-17,"Oct 28 - Nov 17",2052,20,167
"2053-02-14 10:00:00 UTC","2053-03-08 10:00:00 UTC",2053-02-14,2053-03-08,"Feb 14 - Mar 08",2053,22,168
"2053-06-16 07:00:00 UTC","2053-07-10 08:00:00 UTC",2053-06-16,2053-07-10,"Jun 16 - Jul 10",2053,24,169
"2053-10-12 10:00:00 UTC","2053-11-02 03:00:00 UTC",2053-10-12,2053-11-01,"Oct 12 - Nov 01",2053,20,170
"2054-01-29 02:00:00 UTC","2054-02-19 08:00:00 UTC",2054-01-28,2054-02-19,"Jan 28 - Feb 19",2054,22,171
"2054-05-27 23:00:00 UTC","2054-06-20 21:00:00 UTC",2054-05-27,2054-06-20,"May 27 - Jun 20",2054,24,172
"2054-09-25 13:00:00 UTC","2054-10-17 01:00:00 UTC",2054-09-25,2054-10-16,"Sep 25 - Oct 16",2054,21,173
"2055-01-12 22:00:00 UTC","2055-02-02 12:00:00 UTC",2055-01-12,2055-02-02,"Jan 12 - Feb 02",2055,21,174
"2055-05-08 12:00:00 UTC","2055-06-01 07:00:00 UTC",2055-05-08,2055-06-01,"May 08 - Jun 01",2055,24,175
"2055-09-08 11:00:00 UTC","2055-09-30 18:00:00 UTC",2055-09-08,2055-09-30,"Sep 8–30",2055,22,176
"2055-12-27 20:00:00 UTC","2056-01-16 22:00:00 UTC",2055-12-27,2056-01-16,"Dec 27 - Jan 16",2055,20,177
"2056-04-18 11:00:00 UTC","2056-05-12 04:00:00 UTC",2056-04-18,2056-05-11,"Apr 18 - May 11",2056,23,178
"2056-08-21 02:00:00 UTC","2056-09-13 04:00:00 UTC",2056-08-20,2056-09-12,"Aug 20 - Sep 12",2056,23,179
"2056-12-10 18:00:00 UTC","2056-12-30 12:00:00 UTC",2056-12-10,2056-12-30,"Dec 10–30",2056,20,180
"2057-03-31 03:00:00 UTC","2057-04-23 16:00:00 UTC",2057-03-30,2057-04-23,"Mar 30 - Apr 23",2057,24,181
"2057-08-03 10:00:00 UTC","2057-08-27 03:00:00 UTC",2057-08-03,2057-08-26,"Aug 3–26",2057,23,182
"2057-11-24 13:00:00 UTC","2057-12-14 06:00:00 UTC",2057-11-24,2057-12-13,"Nov 24 - Dec 13",2057,19,183
"2058-03-13 14:00:00 UTC","2058-04-05 15:00:00 UTC",2058-03-13,2058-04-05,"Mar 13 - Apr 05",2058,23,184
"2058-07-16 09:00:00 UTC","2058-08-09 11:00:00 UTC",2058-07-16,2058-08-09,"Jul 16 - Aug 09",2058,24,185
"2058-11-08 05:00:00 UTC","2058-11-28 03:00:00 UTC",2058-11-07,2058-11-27,"Nov 7–27",2058,20,186
"2059-02-24 15:00:00 UTC","2059-03-19 01:00:00 UTC",2059-02-24,2059-03-18,"Feb 24 - Mar 18",2059,22,187
"2059-06-27 20:00:00 UTC","2059-07-22 00:00:00 UTC",2059-06-27,2059-07-21,"Jun 27 - Jul 21",2059,24,188
"2059-10-22 16:00:00 UTC","2059-11-12 02:00:00 UTC",2059-10-22,2059-11-11,"Oct 22 - Nov 11",2059,20,189
"2060-02-08 03:00:00 UTC","2060-02-29 19:00:00 UTC",2060-02-07,2060-02-29,"Feb 7–29",2060,22,190
"2060-06-07 19:00:00 UTC","2060-07-01 19:00:00 UTC",2060-06-07,2060-07-01,"Jun 07 - Jul 01",2060,24,191
"2060-10-04 23:00:00 UTC","2060-10-26 00:00:00 UTC",2060-10-04,2060-10-25,"Oct 4–25",2060,21,192
"2061-01-21 21:00:00 UTC","2061-02-11 20:00:00 UTC",2061-01-21,2061-02-11,"Jan 21 - Feb 11",2061,21,193
"2061-05-19 09:00:00 UTC","2061-06-12 05:00:00 UTC",2061-05-19,2061-06-11,"May 19 - Jun 11",2061,23,194
"2061-09-18 00:00:00 UTC","2061-10-09 20:00:00 UTC",2061-09-17,2061-10-09,"Sep 17 - Oct 09",2061,22,195
"2062-01-05 19:00:00 UTC","2062-01-26 03:00:00 UTC",2062-01-05,2062-01-25,"Jan 5–25",2062,20,196
"2062-04-30 00:00:00 UTC","2062-05-23 19:00:00 UTC",2062-04-29,2062-05-23,"Apr 29 - May 23",2062,24,197
"2062-08-31 19:00:00 UTC","2062-09-23 10:00:00 UTC",2062-08-31,2062-09-23,"Aug 31 - Sep 23",2062,23,198
"2062-12-20 16:00:00 UTC","2063-01-09 14:00:00 UTC",2062-12-20,2063-01-09,"Dec 20 - Jan 09",2062,20,199
"2063-04-11 06:00:00 UTC","2063-05-04 22:00:00 UTC",2063-04-10,2063-05-04,"Apr 10 - May 04",2063,24,200
